,0
390,Käfigturm-ein Polit-Forum des Bundes + Nationales Forschungsprogramm NFP 56
391,Junge SVP Schweiz
392,GS-VBS in Zusammenarbeit mit der Projektorganisation Öffentliche Hand UEFA EURO 2008
393,"Schweizerische Sicherheitsuntersuchungsstelle SUST, Bereich Aviatik"
394,Bundesanwaltschaft
395,"Überparteiliches Komitee ""NEIN zu neuen Milliardenlasten für die AHV"""
396,SGB
397,Fastenopfer/Brot für alle
398,NR Dominique de Buman
399,Westschweizer Regierungskonferenz (WRK)
400,Parlamentsdienste und BBL
401,BA für Umwelt und BA für Landwirtschaft
402,Schweizerische Arbeitsgemeinschaft der Jugendverbände
403,"SR Erika Forster-Vannini und Dr. Willy Oggier, Gesundheitsökonomische Beratungen"
404,"SP, CVP, FDP und Grüne"
405,Polit-Forum des Bundes Käfigturm
406,SGB-Verbände
407,Bundesamt für Justiz
408,Schweizerische Akademie der Geistes- und Sozialwissenschaften (SAGW)
409,"EJPD, EDA, EVD"
410,"FDP Schweiz, LPS"
411,"Wirtschaftskomitee ""Für die Bilateralen - Personenfreizügigkeit JA"""
412,"Swisselectricity, Bobst, Nestle Schweiz und Oerlikon Batteries"
413,SBG/Travail.Suisse
414,Eidgenössisches Departement des Innern EDI und Eidgenössisches Departement für auswärtige Angelegenheiten EDA
415,Bibliothèque nationale suisse
416,Swiss National Library
417,"JungsozialistInnen, Junge CVP, Jungfreisinnige Schweiz , Junge Grüne Schweiz, Junge EVP, young european swiss (YES), Forum Jugendsession."
418,Schweizerischer Städteverband
419,SBG/VPOD/SBK/VSAO
420,"Schweizerischer Bauernverband, Schweizerischer Gewerbeverband, Schweizerischer Arbeitgeberverband und economiesuisse"
421,economiesuisse
422,Zentrum für Technologiefolgen-Abschätzung TA-SWISS
423,Schweizerische Osteuropabibliothek und Käfigturm - Ein Polit-Forum des Bundes
424,Regierungsrat des Kantons Zürich / Gemeinderat Hinwil
425,"VCS Verkehrs-Club der Schweiz, Greenpeace, WWF"
426,Familiä-Partei Schweiz
427,Überparteiliches Komitee (SP/Grüne/CSP)
428,"Konferenz der Kantonsregierungen, Konferenz der kantonalen Volkswirtschaftsdirektorinnen - und direktoren, Konferenz der kantonalen Justiz- und Polizeidirektorinnen und -direktoren"
429,Überparteiliches Wirtschaftskomitee gegen die Ausdehnung der Personenfreizügigkeit auf Rumänien und Bulgarien
430,Überparteiliches liberales Komitee
431,Überparteiliches Komitee gegen die unkontrollierte Einwanderung
432,H+ Die Spitäler der Schweiz / CURAVIVA - Verband Heime und Institutionen Schweiz
433,SEV
434,vips Vereinigung Pharmafirmen in der Schweiz; Interpharma; SGCI Chemie Pharma Schweiz
435,GPK-N und GPK-S
436,Eidgenössische Kommission für Frauenfragen EKF und Eidgenössisches Departement für auswärtige Angelegenheiten EDA
437,CVP Frauen
438,"Überparteiliches Komitee ""Personenfreizügigkeit"" / AUNS"
439,Fastenopfer und Brot für alle
440,Demokratische Juristinnen und Juristen Schweiz
441,"Konsumentenorganisationen acsi, FRC, kf und SKS"
442,Parlamentarische Gruppe Schweiz-Armenien (PGArm)
443,"Allianz ""Nein zu neuen AKW"""
444,FK-S
445,"Junge Grüne, Junge SVP, Juso, Jungfreisinnige und Junge EVP"
446,"Universität Bern, Zentrum für universitäre Weiterbildung (vormals Koordinationsstelle für Weiterbildung), Bern"
447,Politische Allianz gegen die Revision der Labortarife
448,Logistikbasis der Armee
449,"Trägerorganisationen der Volksinitiative ""Für den Schutz vor Waffengewalt"""
450,Eidgenössische Kommission gegen Rassismus (EKR)
451,"Links-grünes Komitee ""Nein zum biometrischen Pass"""
452,"Ja-Komitee ""Zukunft mit Komplementärmedizin"""
453,Eidg. Departement des Innern und Eidg. Justiz- und Polizeidepartement
454,Verein NWA - Nie Wieder Atomkraftwerke
455,"Verein ""pro IV"""
456,RehaKo
457,Eidgenössische Elektrizitätskommission ElCom
458,Mediapulse AG für Medienforschung
459,Verein Geraubte Kindheit
460,Energieformum Schweiz
461,Energieforum Schweiz
462,Justizdirektion des Kantons Uri / Bundesamt für Kultur BAK / Inventar der schützenswerten Ortsbilder der Schweiz (ISOS)
463,RUAG Holding
464,Berufsverbände im Gesundheitswesen
465,metrobasel - Plattform für die Entwicklung der Metropolitanregion Basel
466,Zivildienst
467,Konferenz der kantonalen Justiz- und Polizeidirektorinnen und -direktoren (KKJPD)
468,Gesundheitsdirektorenkonferenz GDK
469,Kunststoff Verband Schweiz KVS
470,Eidg. Departement für auswärtige Angelegenheiten (EDA) / Präsenz Schweiz
471,"Unia, vpod, SEV, Gewerkschaft Kommunikation, comedia, Syna, Garanto, SP, PdA, Grüne, K-Tipp, Saldo, Bon à Savoir"
472,Denknetz Schweiz
473,NR Ulrich Schlüer und NR Luzi Stamm
474,"Überparteiliches Komitee ""Ja zur Reisefreiheit"""
475,Stiftung Antidoping Schweiz
476,Schweizerischer Seniorenrat
477,Bundesamt für Statistik (BFS) und Bundesamt für Kultur (BAK)
478,Schweizerischer Verband für Weiterbildung SVEB
479,ETH-Rat
480,Zürcher Hochschule der Künste (ZHdK) und Bundesamt für Kultur (BAK)
481,Bundesamt für Sport BASPO und Nationales Jugendsportzentrum CST in Zusammenarbeit mit Swiss Olympic
482,Schweizerischer Gewerkschaftsbund (SBG)
483,Schweizer Netzwerk der Partner für Bildungsarbeit
484,Swisstransplant
485,Netzwerk Schweizer Pärke
486,Swiss Helicopter Association
487,Bundesamt für Verkehr (BAV) / Task Force W. Straumann
488,Verband der Fachhochschuldozierenden Schweiz fh-ch
489,International Cartographic Association (ICA)
490,Schweizerische Alzheimervereinigung
491,"Initiativkomitee ""Schutz vor Passivrauchen"""
492,"Verein ""Schulen nach Bern"""
493,Eidg. Büro für die Gleichstellung von Frau und Mann
494,Eidgenössisches Finanzdepartement (EFD) und Eidgenössisches Departement für auswärtige Angelegenheiten (EDA)
495,Schweizerischer Gewerkschaftsbund (SGB) und KV Schweiz
496,"Kommission ""Diplomatische Dokumente der Schweiz (DDS)"""
497,Bundesamt für Veterinärwesen (BVET) und Polit-Forum Käfigturm
498,Parlamentarische Gruppe Sport und Bundesamt für Sport (BASPO)
499,Verband Schweizerischer Mineralquellen und Soft-Drink-Produzenten (SMS)
500,Centre Dürrenmatt Neuchâtel (CDN)
501,"AUNS/Überparteiliches Komitee ""Staatsverträge vors Volk!"""
502,Bundesamt für Veterinärwesen (BVET) - ab 2013 im EDI
503,SWISSAID
504,"Wirtschaftskomitee ""2x JA zur Rentensicherheit"""
505,Travail.Suisse und angeschlossene Verbände
506,"Bundesamt für Kultur (BAK) und Kanton Thurgau, Departement für Bau und Umwelt"
507,Akademien der Wissenschaften Schweiz
508,"Parlamentariergruppe ""Suisse - solidarité internationale"""
509,Eidg. Departement Volkswirtschaftsdepartement (EVD) und Eidgenössisches Departement für auswärtige Angelegenheiten (EDA)
510,Schweizerischer Verband für Frauenrechte
511,Eidg. Kommission gegen Rassismus (EKR) und MERS/humanrights.ch
512,Schweizerische Arbeitsgemeinschaft für die Berggebiete (SAB)
513,Klimaallianz
514,NR Edi Engelberger
515,Überparteiliches Komitee gegen die Erhöhung der Mehrwertsteuer
516,Bürgerlich-liberales Komitee
517,Bundesamt für Umwelt (BAFU) und Bundesamt für Energie (BFE)
518,"NR Alfred Heer, SVP ZH"
519,Geschäftsprüfungsdelegation (GPDel)
520,Verein Pro IV
521,NR Peter Spuhler
522,Staatssekretariat für Wirtschaft (SECO) und Gesundheitsförderung Schweiz
523,RUAG Holding AG
524,Schweizerischer Verband für Weiterbildung SVEB in Zusammenarbeit mit den Präsidenten der WBK
525,rot-grün-Mitte-Komitee
526,Schweizerische Osteuropabibliothek und Polit-Forum Käfigturm
527,Schweizerische Volkspartei / Bäuerliches Zentrum BZS / BIG-M
528,KiTaS / VPOD
529,SR Urs Schwaller
530,Schweizerischer Gewerkschaftsbund (SGB) und Travail.Suisse
531,WAK-N / CER-N
532,Überparteiliches Komitee für eine humane Iranpolitik (KHIP)
533,Schweizerische Beobachtungsstelle für Asyl- und Ausländerrecht
534,LITRA Verkehrsforum
535,"BZS, SVP Schweiz, BIG-M"
536,Rektorenkonferenz der Schweizer Universitäten (crus) und Verband der Schweizer Studierendenschaften (VSS-UNES)
537,Schweizerischer Arbeitgeberverband
538,"""Senioren-Komitee gegen die Erhöhung der Mehrwertsteuer"""
539,FMH
540,"Publicjobs (gemeinsames Angebot von Bund, Kantonen und Gemeinden)"
541,"Fastenopfer, Brot für alle"
542,Staatssekretariat für Wirtschaft (SECO) und Bundesamt für Sozialversicherungen (BSV)
543,Kunststoff Verband Schweiz (KVS)
544,Umweltallianz
545,Bündnis gegen Kriegsmaterial-Exporte
546,Verband «Hausärzte Schweiz»
547,Schweizerischer Wissenschafts- und Technologierat (SWTR)
548,cfd - Die feministische Friedensorganisation
549,"Initiativkomitee ""gegen den Bau von Minaretten"""
550,Überparteiliches Komitee gegen Exportverbote
551,"Komitee der Militärischen Milizorganisationen ""Nein zur Exportverbots-Initiative"""
552,"Überparteiliches Komitee ""Nein zur Anti-Minarett-Initiative"""
553,"CVP, SP, FDP, Grüne, BDP, glp"
554,"Komitee ""für Sicherheit und Umweltschutz in der Luftfahrt"""
555,Uniterre / Alliance Sud / BIG-M
556,Wirtschaftsdachverbände
557,Schweizer Casino Verband
558,Jugendkomitee für die Minarettinitiative
559,Schweizerischer Nationalfonds und Polit-Forum Käfigturm
560,RUAG
561,NR Erich von Siebenthal und NR Andreas Brönnimann
562,Bundesamt für Energie (BFE) und Verband Schweizerischer Elektrizitätsunternehmen (VSE)
563,Bundesamt für Justiz (BJ) und Eidgenössische Steuerverwaltung (ESTV)
564,swisscleantech association
565,"Interpharma, vips und Santésuisse"
566,armasuisse
567,"SP Frauen, Grüne, FDP Frauen und CVP Frauen"
568,"Direktion für Entwicklung und Zusammenarbeit (DEZA), UNFPA"
