,0
505,Bundesamt für Verkehr (BAV) / Task Force W. Straumann
506,Verband der Fachhochschuldozierenden Schweiz fh-ch
507,International Cartographic Association (ICA)
508,Schweizerische Alzheimervereinigung
509,"Initiativkomitee ""Schutz vor Passivrauchen"""
510,"Verein ""Schulen nach Bern"""
511,Eidg. Büro für die Gleichstellung von Frau und Mann
512,Eidgenössisches Finanzdepartement (EFD) und Eidgenössisches Departement für auswärtige Angelegenheiten (EDA)
513,Schweizerischer Gewerkschaftsbund (SGB) und KV Schweiz
514,"Kommission ""Diplomatische Dokumente der Schweiz (DDS)"""
515,Bundesamt für Veterinärwesen (BVET) und Polit-Forum Käfigturm
516,Parlamentarische Gruppe Sport und Bundesamt für Sport (BASPO)
517,Verband Schweizerischer Mineralquellen und Soft-Drink-Produzenten (SMS)
518,Centre Dürrenmatt Neuchâtel (CDN)
519,"AUNS/Überparteiliches Komitee ""Staatsverträge vors Volk!"""
520,Bundesamt für Veterinärwesen (BVET) - ab 2013 im EDI
521,SWISSAID
522,"Wirtschaftskomitee ""2x JA zur Rentensicherheit"""
523,Travail.Suisse und angeschlossene Verbände
524,"Bundesamt für Kultur (BAK) und Kanton Thurgau, Departement für Bau und Umwelt"
525,Akademien der Wissenschaften Schweiz
526,"Parlamentariergruppe ""Suisse - solidarité internationale"""
527,Eidg. Departement Volkswirtschaftsdepartement (EVD) und Eidgenössisches Departement für auswärtige Angelegenheiten (EDA)
528,Schweizerischer Verband für Frauenrechte
529,Eidg. Kommission gegen Rassismus (EKR) und MERS/humanrights.ch
530,Schweizerische Arbeitsgemeinschaft für die Berggebiete (SAB)
531,Klimaallianz
532,NR Edi Engelberger
533,Überparteiliches Komitee gegen die Erhöhung der Mehrwertsteuer
534,Bürgerlich-liberales Komitee
535,Bundesamt für Umwelt (BAFU) und Bundesamt für Energie (BFE)
536,"NR Alfred Heer, SVP ZH"
537,Geschäftsprüfungsdelegation (GPDel)
538,Die Schweizerische Post
539,Verein Pro IV
540,NR Peter Spuhler
541,Staatssekretariat für Wirtschaft (SECO) und Gesundheitsförderung Schweiz
542,RUAG Holding AG
543,Schweizerischer Verband für Weiterbildung SVEB in Zusammenarbeit mit den Präsidenten der WBK
544,rot-grün-Mitte-Komitee
545,Schweizerische Osteuropabibliothek und Polit-Forum Käfigturm
546,Schweizerische Volkspartei / Bäuerliches Zentrum BZS / BIG-M
547,KiTaS / VPOD
548,SR Urs Schwaller
549,Schweizerischer Gewerkschaftsbund (SGB) und Travail.Suisse
550,WAK-N / CER-N
551,Überparteiliches Komitee für eine humane Iranpolitik (KHIP)
552,Schweizerische Beobachtungsstelle für Asyl- und Ausländerrecht
553,LITRA Verkehrsforum
554,"BZS, SVP Schweiz, BIG-M"
555,Rektorenkonferenz der Schweizer Universitäten (crus) und Verband der Schweizer Studierendenschaften (VSS-UNES)
556,Schweizerischer Arbeitgeberverband
557,"""Senioren-Komitee gegen die Erhöhung der Mehrwertsteuer"""
558,FMH
559,"Publicjobs (gemeinsames Angebot von Bund, Kantonen und Gemeinden)"
560,"Fastenopfer, Brot für alle"
561,Staatssekretariat für Wirtschaft (SECO) und Bundesamt für Sozialversicherungen (BSV)
562,Kunststoff Verband Schweiz (KVS)
563,Umweltallianz
564,Bündnis gegen Kriegsmaterial-Exporte
565,Verband «Hausärzte Schweiz»
566,Schweizerischer Wissenschafts- und Technologierat (SWTR)
567,cfd - Die feministische Friedensorganisation
568,"Initiativkomitee ""gegen den Bau von Minaretten"""
569,Überparteiliches Komitee gegen Exportverbote
570,"Komitee der Militärischen Milizorganisationen ""Nein zur Exportverbots-Initiative"""
571,"Überparteiliches Komitee ""Nein zur Anti-Minarett-Initiative"""
572,"CVP, SP, FDP, Grüne, BDP, glp"
573,"Komitee ""für Sicherheit und Umweltschutz in der Luftfahrt"""
574,Uniterre / Alliance Sud / BIG-M
575,Wirtschaftsdachverbände
576,Schweizer Casino Verband
577,Jugendkomitee für die Minarettinitiative
578,Schweizerischer Nationalfonds und Polit-Forum Käfigturm
579,RUAG
580,NR Erich von Siebenthal und NR Andreas Brönnimann
581,Bundesamt für Energie (BFE) und Verband Schweizerischer Elektrizitätsunternehmen (VSE)
582,Bundesamt für Justiz (BJ) und Eidgenössische Steuerverwaltung (ESTV)
583,swisscleantech association
584,"Interpharma, vips und Santésuisse"
585,armasuisse
